numero_expediente,tipo_obra,fecha_inicio_expediente,registro_obra_mes,registro_obra_anio,metros_cuadrados_obra,direccion_obra,seccion_manzana_parcela,lat,long,altura_obra,calle_obra,barrio_obra,comuna_obra,cp_obra,cpa_obra
62630/86,MODIFICACION,2013-03-20,MARZO,2013,230.74,SOMELLERA 1499,044-177-016c,-34.6433593416932,-58.4319148712518,1499,SOMELLERA ,Parque Chacabuco,Comuna 7,1437,C1437JIM
1576243/10,OBRA NUEVA,2013-03-20,MARZO,2013,2626.6,BOEDO 456,028-003-011,-34.6184075993394,-58.4157720532586,456,BOEDO ,Almagro,Comuna 5,1218,C1218AAN
2517967/12,OBRA NUEVA,2013-03-21,MARZO,2013,192.85,MELIAN 4210,043-022-014,-34.5507439070163,-58.48311707114,4210,MELIAN ,Saavedra,Comuna 12,1430,C1430EZL
2850229/12,OBRA NUEVA,2013-03-22,MARZO,2013,1769.65,ARRIOLA 77,024-026-023,-34.6379732834262,-58.4024255220495,77,ARRIOLA ,Parque Patricios,Comuna 4,1437,C1437FAA
2825476/12,OBRA NUEVA,2013-03-25,MARZO,2013,1268.56,BEHRING 2551,061-051-025,-34.5843304143955,-58.4743508506798,2551,BEHRING ,Parque Chas,Comuna 15,1427,C1427DFA
2739282/12,OBRA NUEVA,2013-03-25,MARZO,2013,4109.74,INDEPENDENCIA 1375,012-032-027b,-34.6179210264281,-58.3847588114205,1375,INDEPENDENCIA ,,,,
3027881/12,MODIFICACION,2013-03-25,MARZO,2013,255.97,BESARES 1731,029-084A-014,-34.5423462617697,-58.4640611120501,1731,BESARES ,Nu\u00f1ez,Comuna 13,1429,C1429DHC
48876/07,OBRA NUEVA,2013-03-25,MARZO,2013,1421.08,ARENALES 2325,011-017-026,-34.5943098656408,-58.3992093479571,2325,ARENALES ,Recoleta,Comuna 2,1124,C1124AAK
1158122/11,MODIFICACION,2013-03-25,MARZO,2013,1447.72,YERBAL 3520,077-122-002,-34.6322002463341,-58.4769820784442,3520,YERBAL ,Floresta,Comuna 10,1407,C1407EAF
3002493/12,OBRA NUEVA,2013-03-25,MARZO,2013,1157.15,B.ENCALADA 3030,039-058-016,-34.5636463157965,-58.4648264710435,3030,ENCALADA ,Belgrano,Comuna 13,1428,C1428DDZ
1170449/12,OBRA NUEVA,2013-03-25,MARZO,2013,973.22,CORVALAN 550,060-072-015a,-34.6441004941246,-58.5023134033197,550,CORVALAN ,Villa Luro,Comuna 10,1440,C1440DIB
50876/91,AMPLIACION,2013-03-25,MARZO,2013,717.57,N.ORO/O 1159,059-125-015,-34.6120039476821,-58.4554851477014,1159,O ,,,,
1940410/12,OBRA NUEVA,2013-03-25,MARZO,2013,526.72,P.JUNTA 2548,048-090-004,-34.6397161232967,-58.4573567542228,2548,JUNTA ,Flores,Comuna 7,1406,C1406HLB
2368485/12,OBRA NUEVA,2013-03-25,MARZO,2013,1496.86,BOGOTA 2250,065-101-002,-34.6253648056097,-58.4615758210301,2250,BOGOTA ,Flores,Comuna 7,1406,C1406GBP
2536169/12,MODIFICACION Y DEMOLICION PARCIAL,2013-03-26,MARZO,2013,854.49,ARANGUREN 2802,065-035-001,-34.6253911672024,-58.4702787816766,2802,ARANGUREN ,Flores,Comuna 7,1406,C1406FXB
2750488/12,,2013-03-26,MARZO,2013,176.24,MOLIERE 228,095-053B-015,-34.6363386523042,-58.5020885381639,228,MOLIERE ,Villa Luro,Comuna 10,1407,C1407BTD
1504799/12,OBRA NUEVA,2013-03-26,MARZO,2013,1345.75,RAMON LISTA 5284,087-013-024,-34.614935092005,-58.5231615319766,5284,RAMON LISTA ,Villa Devoto,Comuna 11,1417,C1417FAF
693955/13,OBRA NUEVA,2013-03-26,MARZO,2013,1812.55,BARZANA 2138,051-025-031,-34.5795266924247,-58.4876555223172,2138,BARZANA ,Villa Urquiza,Comuna 12,1431,C1431EAP
76812/08,OBRA NUEVA,2013-03-26,MARZO,2013,1088.17,CONGRESO 3048,041-089-005,-34.5593686548621,-58.4678762406526,3048,CONGRESO ,Belgrano,Comuna 13,1428,C1428BVX
587636/13,OBRA NUEVA,2013-03-26,MARZO,2013,105.9,J.AZURDUY 2481,041-161-017,-34.5515205165525,-58.4670967829341,2481,AZURDUY ,Nu\u00f1ez,Comuna 13,1429,C1429BZI
2575335/12,MODIFICACION,2013-03-26,MARZO,2013,219.64,B.JUAREZ 3727,089-090-012,-34.6067805059555,-58.5163742475082,3727,JUAREZ ,Villa Devoto,Comuna 11,1419,C1419BTE
2748203/12,OBRA NUEVA,2013-03-26,MARZO,2013,329.55,CHASCOMUS 4881,062-135-020,-34.6496280627608,-58.4905218929148,4881,CHASCOMUS ,Mataderos,Comuna 9,1440,C1440AQA
2975065/12,AMPLIACION,2013-03-26,MARZO,2013,2201.33,R.NAON 2855,041-004-008d,-34.5635691152893,-58.4754707066844,2855,NAON ,Coghlan,Comuna 12,1430,C1430EQC
147600/11,OBRA NUEVA,2013-03-26,MARZO,2013,2893.7,SOLER 5763,035-087-022a,-34.5798516047149,-58.4334525200779,5763,SOLER ,Palermo,Comuna 14,1425,C1425BYI
23209/07,OBRA NUEVA,2013-03-26,MARZO,2013,405.72,MENDOZA 1647,025-057-019,-34.5570175346627,-58.4498159041137,1647,MENDOZA ,Belgrano,Comuna 13,1428,C1428DJO
14288/09,MODIFICACION,2013-04-03,ABRIL,2013,2751.68,BONPLAND 2363,035-113-012,-34.5788045448125,-58.4304739453944,2363,BONPLAND ,Palermo,Comuna 14,1425,C1425FWE
2202719/12,OBRA NUEVA,2013-04-03,ABRIL,2013,1364.2,HELGUERA 759,065-018-013,-34.6237673471888,-58.4751585960851,759,HELGUERA ,Flores,Comuna 7,1406,C1406APM
2691346/12,OBRA NUEVA,2013-04-03,ABRIL,2013,180.88,FOURNIER 2370,038-112-015d,-34.6433994468814,-58.423354271018,2370,FOURNIER ,Nueva Pompeya,Comuna 4,1437,C1437DCF
1531797/12,OBRA NUEVA,2013-04-03,ABRIL,2013,607.98,11 DE SEPTIEMBRE 4266,029-085-029,-34.5412036651998,-58.464668854224,4266, DE SEPTIEMBRE ,Nu\u00f1ez,Comuna 13,1429,C1429BJD
3037964/12,MODIFICACION Y DEMOLICION PARCIAL,2013-04-03,ABRIL,2013,281.3,C.ARENAL 2612,035-078-011c,-34.5767537049453,-58.4384050293434,2612,ARENAL ,,,,
670724/10,OBRA NUEVA Y DEMOLICION TOTAL,2013-04-03,ABRIL,2013,888.02,CESPEDES 2585,037-142-012,-34.5706322436976,-58.4492069291352,2585,CESPEDES ,Colegiales,Comuna 13,1426,C1426DUI
977859/11,OBRA NUEVA,2013-04-03,ABRIL,2013,2503.91,C.LARRALDE 2475,043-179-011,-34.549676504294,-58.468568490114,2475,LARRALDE ,Saavedra,Comuna 12,1429,C1429BTE
888830/11,MODIFICACION,2013-04-03,ABRIL,2013,4349.99,NOGOYA 3440,081-136-005,-34.6059774355306,-58.4951819701248,3440,NOGOYA ,Villa Del Parque,Comuna 11,1417,C1417FNN
2285950/12,OBRA NUEVA,2013-04-03,ABRIL,2013,1491.41,BEIRO 4289,083-020-006,-34.605989250667,-58.5110607182127,4289,BEIRO ,Villa Devoto,Comuna 11,1419,C1419HZE
2225982/12,OBRA NUEVA,2013-04-03,ABRIL,2013,872.99,TRELLES 2107,059-072-012,-34.6041274103969,-58.4654723702742,2107,TRELLES ,Villa Gral. Mitre,Comuna 11,1416,C1416BRU
2495559/12,OBRA NUEVA Y DEMOLICION TOTAL,2013-04-03,ABRIL,2013,2461.24,ECUADOR 1511,015-138-024a,-34.5931989366462,-58.4021560806462,1511,ECUADOR ,Recoleta,Comuna 2,1425,C1425EUI
2394294/12,DEMOLICION TOTAL,2013-04-03,ABRIL,2013,885.02,MATORRAS 290,040-113-010c,-34.6239646151645,-58.4311121130549,290,MATORRAS ,Caballito,Comuna 6,1424,C1424BWB
2239727/12,MODIFICACION,2013-04-03,ABRIL,2013,1209.8,J.A.CABRERA 5958,033-084-049,-34.5835486411057,-58.4415037209079,5958,CABRERA ,Palermo,Comuna 14,1414,C1414BHL
11261/09,MODIFICACION,2013-04-04,ABRIL,2013,11387.26,LAS HERAS 2161,011-039-011a,-34.5889761927154,-58.3947152542293,2161,LAS HERAS ,Recoleta,Comuna 2,1127,C1127AAD
1966609/12,MODIFICACION,2013-04-04,ABRIL,2013,3841.73,GRANADEROS 622,065-115-026,-34.6212490236154,-58.4620474782208,622,GRANADEROS ,Flores,Comuna 7,1406,C1406BDL
2456584/12,OBRA NUEVA,2013-04-04,ABRIL,2013,471.14,PLANES 1224,057-097B-004,-34.6135350291711,-58.4506700857049,1224,PLANES ,Caballito,Comuna 6,1405,C1405DBN
2636641/12,OBRA NUEVA,2013-04-04,ABRIL,2013,1116.5,SUCRE 4744,051-068-006,-34.5774748633748,-58.4763571646213,4744,SUCRE ,Villa Urquiza,Comuna 12,1431,C1431CSF
1227265/10,MODIFICACION,2013-04-04,ABRIL,2013,2106.72,J.BONIFACIO 1519,042-059-016,-34.6290213374511,-58.4478885439161,1519,BONIFACIO ,Caballito,Comuna 6,1406,C1406GXI
160277/13,OBRA NUEVA,2013-04-04,ABRIL,2013,706.2,AMBROSETTI 925,045-100-007,-34.6079141646768,-58.437929045503,925,AMBROSETTI ,Caballito,Comuna 6,1405,C1405BIO
833606/13,OBRA NUEVA,2013-04-05,ABRIL,2013,8126.85,CASTAÑEDA 1812,025-113-028a,-34.5545744322122,-58.4360934007758,1812,EDA ,,,,
2238864/12,OBRA NUEVA,2013-04-05,ABRIL,2013,2741.4,IBERA 2246,027-012-001b,-34.5534716005493,-58.4623300153116,2246,IBERA ,Nu\u00f1ez,Comuna 13,1429,C1429CMF
13557/07,OBRA NUEVA,2013-04-05,ABRIL,2013,2230.82,SAN MARTIN 7626,083-155-016C,-34.5917975921861,-58.5124961439904,7626,SAN MARTIN ,,,,
793937/12,OBRA NUEVA,2013-04-05,ABRIL,2013,2546.49,DIRECTORIO 1621,042-038-017,-34.6305282364893,-58.4493680148008,1621,DIRECTORIO ,Caballito,Comuna 6,1406,C1406GZF
2623784/12,OBRA NUEVA,2013-04-05,ABRIL,2013,303.88,AGUIRRE 1158,031-034-042,-34.5920155604729,-58.4410462577276,1158,AGUIRRE ,Villa Crespo,Comuna 15,1414,C1414ASX
1497050/11,OBRA NUEVA,2013-04-05,ABRIL,2013,1363.94,V.DE OBLIGADO 2789,027-021-009,-34.5554228890701,-58.4604578638227,2789,DE OBLIGADO ,Belgrano,Comuna 13,1428,C1428ADS
2189747/12,MODIFICACION Y DEMOLICION PARCIAL,2013-04-08,ABRIL,2013,630.62,PARAGUAY 2331,011-014-031,-34.5981681995856,-58.4004620439717,2331,PARAGUAY ,Recoleta,Comuna 2,1121,C1121ABK
2141572/12,OBRA NUEVA,2013-04-08,ABRIL,2013,593.47,CARHUE 1284,072-057-034,-34.652819263327,-58.5200239583001,1284,CARHUE ,Liniers,Comuna 9,1408,C1408GBZ
464359/10,MODIFICACION Y DEMOLICION PARCIAL,2013-04-08,ABRIL,2013,291.33,CHILE 1231,012-042-028A,-34.6167788609908,-58.3829000635676,1231,CHILE ,Monserrat,Comuna 1,1098,C1098AAY
297813/13,MODIFICACION Y DEMOLICION PARCIAL,2013-04-08,ABRIL,2013,73.58,ALTOLAGUIRRE 2965,063-080-010a,-34.5728749294143,-58.4935905006266,2965,ALTOLAGUIRRE ,Villa Urquiza,Comuna 12,1431,C1431EDK
642319/13,OBRA NUEVA Y DEMOLICION TOTAL,2013-04-08,ABRIL,2013,22.06,BERNALDES 1627,085-074-012,-34.6203173991255,-58.5006231467854,1627,BERNALDES ,Monte Castro,Comuna 10,1407,C1407CTK
331925/13,OBRA NUEVA,2013-04-08,ABRIL,2013,426.06,OLAZABAL 4832,051-057-005,-34.575715036503,-58.4825061639626,4832,OLAZABAL ,Villa Urquiza,Comuna 12,1431,C1431CGR
2737501/12,OBRA NUEVA,2013-04-08,ABRIL,2013,246.45,J.VARAS 3241,043-072B-015,-34.5485809318108,-58.4799650366402,3241,VARAS ,Saavedra,Comuna 12,1429,C1429DLA
753260/13,OBRA NUEVA,2013-04-08,ABRIL,2013,1062.63,NAVARRO 4674,089-092-007,-34.6085862822716,-58.5163008460871,4674,NAVARRO ,Villa Devoto,Comuna 11,1419,C1419HUP
2981196/12,OBRA NUEVA,2013-04-08,ABRIL,2013,25.5,LOYOLA 1530,033-034-003,-34.5886271515875,-58.4432474739793,1530,LOYOLA ,Chacarita,Comuna 15,1414,C1414AVH
2446007/12,OBRA NUEVA,2013-04-08,ABRIL,2013,3355.78,CORDOBA 3547,015-001-026,-34.5980015188341,-58.4160262666242,3547,CORDOBA ,Palermo,Comuna 14,1188,C1188AAB
1215296/11,MODIFICACION Y DEMOLICION PARCIAL,2013-04-08,ABRIL,2013,155.91,CENTENERA  1005,040-009A-001A,-34.6317132637694,-58.4375157048437,1005,CENTENERA  ,Parque Chacabuco,Comuna 7,1424,C1424AMU
2656037/12,OBRA NUEVA,2013-04-08,ABRIL,2013,235.41,RAMSAY 2424,025-112-037,-34.5495678816199,-58.4421475523429,2424,RAMSAY ,Belgrano,Comuna 13,1428,C1428BAN
760827/11,OBRA NUEVA,2013-04-08,ABRIL,2013,1221.11,R.NAON 2471,039-007-006,-34.5672357065154,-58.4723921214911,2471,NAON ,Belgrano,Comuna 13,1430,C1430EPM
2820059/12,MODIFICACION Y DEMOLICION PARCIAL,2013-04-08,ABRIL,2013,120,P.MORAN 2930,071-044-002,-34.5935405736432,-58.4958468153345,2930,MORAN ,Agronomia,Comuna 15,1419,C1419HJR
2979504/12,OBRA NUEVA,2013-04-08,ABRIL,2013,3500.76,MONROE 4521,053-050-023,-34.5709657325475,-58.4798508938083,4521,MONROE ,Villa Urquiza,Comuna 12,1431,C1431CAA
1478756/09,MODIFICACION Y DEMOLICION PARCIAL,2013-04-09,ABRIL,2013,5501.54,ROJAS 730,045-024-037a,-34.6129881435242,-58.444669170889,730,ROJAS ,Caballito,Comuna 6,1405,C1405ABL
875298/13,OBRA NUEVA,2013-04-09,ABRIL,2013,1185.42,CORDOBA 3290,013-045-011a,-34.5986164603578,-58.4124777651947,3290,CORDOBA ,Almagro,Comuna 5,1187,C1187AAT
2110461/12,OBRA NUEVA,2013-04-09,ABRIL,2013,259.45,DEAN FUNES 1891,024-016-037,-34.6334020839284,-58.4041456588644,1891,DEAN FUNES ,Parque Patricios,Comuna 4,1244,C1244AAM
485244/13,MODIFICACION,2013-04-09,ABRIL,2013,127.31,TRONADOR 1391,049-107-012,-34.5788366801159,-58.4653988679702,1391,TRONADOR ,Villa Ortuzar,Comuna 15,1427,C1427CSA
793809/12,MODIFICACION,2013-04-09,ABRIL,2013,81.85,MADERO 569,093-035-014b,-34.6328645434858,-58.5249759104117,569,MADERO ,Versalles,Comuna 10,1408,C1408BRI
3034149/12,MODIFICACION Y DEMOLICION PARCIAL,2013-04-09,ABRIL,2013,194.97,J.A.GARCIA 4087,079-058-037,-34.6184903963262,-58.4938379157635,4087,GARCIA ,,,,
9912/00,MODIFICACION,2013-04-10,ABRIL,2013,501.1,CONSTITUYENTES 5880,075-105-001,-34.5736263581735,-58.5035325266031,5880,CONSTITUYENTES ,Villa Pueyrredon,Comuna 12,1431,C1431EZW
1481946/09,MODIFICACION,2013-04-10,ABRIL,2013,2033.73,HEREDIA 867,049-134-012,-34.5837090467924,-58.4625745999151,867,HEREDIA ,Villa Ortuzar,Comuna 15,1427,C1427CNM
32374/09,MODIFICACION,2013-04-10,ABRIL,2013,664.46,J.CABRERA 4502,031-102-050,-34.593982231972,-58.4269002995566,4502,CABRERA ,Palermo,Comuna 14,1414,C1414BGH
2542026/12,OBRA NUEVA,2013-04-10,ABRIL,2013,917.44,ERCILLA 5173,060-104-021,-34.640544078433,-58.501870159653,5173,ERCILLA ,Villa Luro,Comuna 10,1408,C1408IPA
426975/13,OBRA NUEVA,2013-04-10,ABRIL,2013,35.17,GUALEGUAYCHU 3846,083-026-016A,-34.6024078286872,-58.5130277684877,3846,GUALEGUAYCHU ,Villa Devoto,Comuna 11,1419,C1419BKH
537824/11,MODIFICACION,2013-04-10,ABRIL,2013,0,C.DE LA PAZ 1128,037-142-020,-34.570112851664,-58.4489263158809,1128,DE LA PAZ ,Colegiales,Comuna 13,1426,C1426AGV
2439513/12,OBRA NUEVA,2013-04-11,ABRIL,2013,2264.74,CABILDO 4769,029-011-009,-34.541319739789,-58.4732087139787,4769,CABILDO ,Nu\u00f1ez,Comuna 13,1429,C1429ABF
2844242/12,OBRA NUEVA,2013-04-11,ABRIL,2013,3316.09,EVA PERON 4172,056-087-012a,-34.6521272722725,-58.4709458990172,4172,EVA PERON ,Parque Avellaneda,Comuna 9,1407,C1407HUS
1474090/11,OBRA NUEVA,2013-04-11,ABRIL,2013,2566.58,T.GARCIA  1721,023-114-001c,-34.5636066969908,-58.4395751252485,1721,GARCIA  ,,,,
1941917/12,OBRA NUEVA,2013-04-11,ABRIL,2013,729.13,ARISMENDI 2620,061-053-002,-34.5847936748988,-58.4753267276223,2620,ARISMENDI ,Parque Chas,Comuna 15,1427,C1427DLF
2734766/12,OBRA NUEVA,2013-04-11,ABRIL,2013,857.33,C.DE GOMEZ 1626,074-068-020,-34.6556520303857,-58.5112954341318,1626,DE GOMEZ ,Mataderos,Comuna 9,1440,C1440EGH
158446/12,MODIFICACION Y DEMOLICION PARCIAL,2013-04-11,ABRIL,2013,31.95,LEZICA 3902,017-064A-001,-34.611400920806,-58.4206776191464,3902,LEZICA ,Almagro,Comuna 5,1202,C1202AAB
2444756/12,OBRA NUEVA,2013-04-11,ABRIL,2013,1359.09,CORRIENTES 6391,033-008-022,-34.5902961129533,-58.4485281752228,6391,CORRIENTES ,Chacarita,Comuna 15,1427,C1427BPB
1781730/12,OBRA NUEVA,2013-04-11,ABRIL,2013,1173.78,ROSETI 1656,049-103-006,-34.5823903363544,-58.4649311472157,1656,ROSETI ,Villa Ortuzar,Comuna 15,1427,C1427BWH
392825/13,MODIFICACION,2013-04-11,ABRIL,2013,39.83,BACON 5019,083-180A-013,-34.5892530163852,-58.5125708680392,5019,BACON ,Villa Devoto,Comuna 11,1419,C1419AQE
410257/13,OBRA NUEVA,2013-04-11,ABRIL,2013,1350.46,DIRECTORIO 1715,042-017-027,-34.630994751839,-58.4514041880932,1715,DIRECTORIO ,Flores,Comuna 7,1406,C1406GZG
2063273/12,OBRA NUEVA,2013-04-11,ABRIL,2013,4300.7,LIBERTADOR 6610,027-092-026,-34.5518056810625,-58.4520642441651,6610,LIBERTADOR ,Belgrano,Comuna 13,1428,C1428ARW
504240/13,OBRA NUEVA,2013-04-11,ABRIL,2013,841.32,UNANUE 6631,080-023-026,-34.6861078147853,-58.4794800240276,6631,UNANUE ,Villa Lugano,Comuna 8,1439,C1439CHE
832573/13,OBRA NUEVA,2013-04-12,ABRIL,2013,550.07,DEL TEMPLE 2663,061-080-024,-34.584424056567,-58.4765636895023,2663,DEL TEMPLE ,Parque Chas,Comuna 15,1427,C1427DMC
1419468/10,MODIFICACION,2013-04-12,ABRIL,2013,9357.44,B.MITRE 1281,005-044-024,-34.607741203632,-58.3841405106298,1281,MITRE ,,,,
974006/13,MODIFICACION,2013-04-12,ABRIL,2013,238.42,LADINES 3885,083-115-022,-34.5919861826004,-58.5169656163679,3885,LADINES ,Villa Devoto,Comuna 11,1419,C1419EZC
2750860/12,OBRA NUEVA,2013-04-12,ABRIL,2013,883.09,CRAMER 3549,041-118-013,-34.552330152339,-58.4714423547673,3549,CRAMER ,Nu\u00f1ez,Comuna 13,1429,C1429AJM
988767/12,MODIFICACION,2013-04-12,ABRIL,2013,134.18,NICETO VEGA 5843,033-083C-017,-34.5850937336507,-58.4411026524851,5843,NICETO VEGA ,Palermo,Comuna 14,1414,C1414BFI
2324487/12,OBRA NUEVA,2013-04-15,ABRIL,2013,2292.57,GUATEMALA 4621,019-118-022,-34.5870485544498,-58.4230581872069,4621,GUATEMALA ,Palermo,Comuna 14,1425,C1425BUK
3034990/12,OBRA NUEVA,2013-04-15,ABRIL,2013,2008.81,ESMERALDA 1281,003-039-008,-34.5934627382176,-58.3778282122241,1281,ESMERALDA ,Retiro,Comuna 1,1007,C1007ABQ
3010113/12,OBRA NUEVA,2013-04-15,ABRIL,2013,1708.76,ELCANO 2762,037-123A-004,-34.5688701708367,-58.4567341634378,2762,ELCANO ,Belgrano,Comuna 13,1426,C1426EIN
654420/13,OBRA NUEVA,2013-04-15,ABRIL,2013,1491.71,CHARCAS 4645,019-159-023,-34.5820008007362,-58.4250279844758,4645,CHARCAS ,Palermo,Comuna 14,1425,C1425BNQ
571448/13,OBRA NUEVA,2013-04-15,ABRIL,2013,299.7,MIRALLA 1285,062-052-032,-34.6513143358119,-58.4971683640179,1285,MIRALLA ,Mataderos,Comuna 9,1440,C1440DCM
2769677/12,OBRA NUEVA,2013-04-15,ABRIL,2013,122.33,CASTILLO 720,031-055-001b,-34.5939836057844,-58.4356396752286,720,CASTILLO ,Villa Crespo,Comuna 15,1414,C1414AWP
2830456/12,OBRA NUEVA,2013-04-15,ABRIL,2013,544.42,DELLEPIANE 650,005-015-015,-34.6018267198919,-58.3904358714114,650,DELLEPIANE ,,,,
2670681/12,OBRA NUEVA,2013-04-15,ABRIL,2013,299.9,TINOGASTA 3614,081-116-002c,-34.6036846098593,-58.4993385775123,3614,TINOGASTA ,Villa Del Parque,Comuna 11,1417,C1417EIH
1807623/12,MODIFICACION,2013-04-15,ABRIL,2013,298.5,LIMA 631,012-051-035,-34.6162035101014,-58.3812943522668,631,LIMA ,Monserrat,Comuna 1,1073,C1073AAM
2307109/11,OBRA NUEVA,2013-04-15,ABRIL,2013,1722.79,AZUL 196,054-193-017,-34.6348853886167,-58.473714659639,196,AZUL ,Floresta,Comuna 10,1407,C1407KHD
2660515/12,OBRA NUEVA,2013-04-16,ABRIL,2013,1691.41,FORMOSA 229,040-116-031a,-34.6212901091771,-58.4308101113489,229,FORMOSA ,Caballito,Comuna 6,1424,C1424BZE
991651/13,OBRA NUEVA,2013-04-16,ABRIL,2013,358.78,CRAMER 2875,041-111-012,-34.5585605901044,-58.466068978858,2875,CRAMER ,Belgrano,Comuna 13,1428,C1428CTU
1867193/11,OBRA NUEVA,2013-04-16,ABRIL,2013,299.36,LASCANO 3979,081-067-028,-34.614045548581,-58.4970127659997,3979,LASCANO ,Monte Castro,Comuna 10,1417,C1417GZG
1394487/11,MODIFICACION Y DEMOLICION PARCIAL,2013-04-16,ABRIL,2013,221.7,ZUVIRIA 5641,078-140-024,-34.6688433663512,-58.4852849390159,5641,ZUVIRIA ,Villa Lugano,Comuna 8,1439,C1439BEA
546176/11,OBRA NUEVA,2013-04-16,ABRIL,2013,613.01,C.LARRALDE 4525,055-163A-017,-34.5594534901469,-58.4870222032082,4525,LARRALDE ,Saavedra,Comuna 12,1430,C1430AJG
2416623/12,OBRA NUEVA,2013-04-16,ABRIL,2013,829.6,CONCORDIA 664,077-136-032,-34.6256748967914,-58.4786596231688,664,CONCORDIA ,Floresta,Comuna 10,1407,C1407DIL
224595/11,MODIFICACION Y DEMOLICION PARCIAL,2013-04-16,ABRIL,2013,383.1,HONDURAS 5924,035-020-003,-34.5821166767897,-58.4392220387515,5924,HONDURAS ,Palermo,Comuna 14,1414,C1414BNL
244241/12,OBRA NUEVA,2013-04-16,ABRIL,2013,2126.17,CORRIENTES 4321,017-048-019,-34.6027965846719,-58.4254947683568,4321,CORRIENTES ,Almagro,Comuna 5,1195,C1195AAC
2820187/12,OBRA NUEVA,2013-04-16,ABRIL,2013,2882.63,PAVON 3888,036-086-006,-34.6312371481405,-58.4183183123732,3888,PAVON ,Boedo,Comuna 5,1253,C1253AAW
2286356/12,DEMOLICION TOTAL,2013-04-16,ABRIL,2013,1227.6,COLOMBRES 780,036-129-021a,-34.6227736442871,-58.4171822935901,780,COLOMBRES ,Boedo,Comuna 5,1218,C1218ABH
487451/13,MODIFICACION,2013-04-16,ABRIL,2013,2882.63,MOLDES 2348,039-079-011,-34.5619513706934,-58.4611093710778,2348,MOLDES ,Belgrano,Comuna 13,1428,C1428CRL
1136617/11,OBRA NUEVA,2013-04-17,ABRIL,2013,971.28,AMENABAR 465,035-082-048,-34.5743010779293,-58.4430473792151,465,AMENABAR ,Colegiales,Comuna 13,1426,C1426AJE
1115969/13,MODIFICACION Y DEMOLICION PARCIAL,2013-04-17,ABRIL,2013,0,CORRIENTES 3321,013-051-007,-34.6042841939111,-58.4115243005705,3321,CORRIENTES ,Balvanera,Comuna 3,1193,C1193AAF
874411/13,MODIFICACION,2013-04-17,ABRIL,2013,121.04,P.I.RIVERA 5721,063-032-024b,-34.5761966318577,-58.494836725582,5721,RIVERA ,Villa Urquiza,Comuna 12,1431,C1431BVY
1936417/11,OBRA NUEVA,2013-04-17,ABRIL,2013,1585.28,YATAY 549,017-030-017,-34.6059862498836,-58.428148355858,549,YATAY ,Almagro,Comuna 5,1184,C1184ADI
274768/13,MODIFICACION,2013-04-17,ABRIL,2013,67.15,R.HUIDOBRO 3038,043-099-003,-34.5474503381518,-58.4776932910446,3038,HUIDOBRO ,Saavedra,Comuna 12,1429,C1429DNZ
696742/11,DEMOLICION TOTAL,2013-04-18,ABRIL,2013,3804.72,PARANA 741,005-034-016a,-34.6005561535329,-58.3873067785826,741,PARANA ,San Nicolas,Comuna 1,1017,C1017AAO
2823158/12,OBRA NUEVA,2013-04-18,ABRIL,2013,3011.93,PAROISSIEN 2560,043-175-005a,-34.5481753308177,-58.4705489543743,2560,PAROISSIEN ,Saavedra,Comuna 12,1429,C1429CXN
1954150/12,OBRA NUEVA,2013-04-18,ABRIL,2013,1399.94,PERON 4075,017-069-032,-34.606195809454,-58.423419575568,4075,PERON ,,,,
2571861/12,OBRA NUEVA,2013-04-18,ABRIL,2013,342.78,OLIDEN 1381,074-120-004,-34.6524597587207,-58.5052082733331,1381,OLIDEN ,Mataderos,Comuna 9,1440,C1440CQA
2844849/12,OBRA NUEVA,2013-04-18,ABRIL,2013,208.35,R.FALCON 5611,060-088-025b,-34.6396472615895,-58.5054231888401,5611,FALCON ,Villa Luro,Comuna 10,1408,C1408DRE
2623331/12,OBRA NUEVA,2013-04-18,ABRIL,2013,1794.97,DEHEZA 1670,029-103-006,-34.5385043266364,-58.4658500143125,1670,DEHEZA ,Nu\u00f1ez,Comuna 13,1429,C1429DZB
224826/13,OBRA NUEVA,2013-04-18,ABRIL,2013,2036.68,INDEPENDENCIA 2055,020-051-033,-34.6185222890806,-58.3948260166412,2055,INDEPENDENCIA ,Balvanera,Comuna 3,1225,C1225AAC
1444057/11,OBRA NUEVA,2013-04-18,ABRIL,2013,1906.54,MEXICO 1487,012-025-021,-34.6158129132684,-58.3866311039739,1487,MEXICO ,Monserrat,Comuna 1,1097,C1097ABC
814496/13,OBRA NUEVA,2013-04-18,ABRIL,2013,363.56,CUCHA CUCHA 646,057-111-035,-34.6150694969149,-58.4468149622908,646,CUCHA CUCHA ,Caballito,Comuna 6,1405,C1405AID
2443104/12,MODIFICACION Y DEMOLICION PARCIAL,2013-04-19,ABRIL,2013,78.12,P.I.PALLIERE 1479,062-148B-026,-34.6507879471924,-58.4866240408468,1479,PALLIERE ,Parque Avellaneda,Comuna 9,1407,C1407IMC
993681/13,OBRA NUEVA,2013-04-19,ABRIL,2013,278.85,OLIVERA 1268,062-160-011,-34.6533366327059,-58.4805614471236,1268,OLIVERA ,Parque Avellaneda,Comuna 9,1407,C1407INZ
1307370/12,MODIFICACION,2013-04-19,ABRIL,2013,65.33,NOGOYA 5586,093-152B-004,-34.6226982350584,-58.519606412842,5586,NOGOYA ,Villa Real,Comuna 10,1408,C1408BBF
